Date,005930.KS,000660.KS,006400.KS
2016-01-04,18850.828125,26631.572265625,108750.328125
2016-01-05,18897.759765625,27029.056640625,111167.0078125
2016-01-06,18381.509765625,27161.556640625,110683.6640625
2016-01-07,18193.78125,26675.736328125,107300.3203125
2016-01-08,18318.9296875,26234.087890625,109233.671875
2016-01-11,18021.703125,25306.619140625,107783.6640625
2016-01-12,17927.8359375,24555.810546875,105366.9921875
2016-01-13,17959.12890625,24820.80859375,105850.3125
2016-01-14,17802.6875,24644.13671875,105850.3125
2016-01-15,17708.828125,23672.5078125,105850.3125
2016-01-18,17614.962890625,23584.181640625,103916.984375
2016-01-19,18318.9296875,24997.466796875,96570.2890625
2016-01-20,17802.6875,23672.5078125,97150.296875
2016-01-21,17693.18359375,23495.84375,97150.296875
2016-01-22,18272.0,23981.6640625,98600.3046875
2016-01-25,18178.13671875,24732.47265625,99083.6328125
2016-01-26,17787.048828125,24599.9765625,84486.921875
2016-01-27,18381.509765625,24423.31640625,86130.2578125
2016-01-28,17912.1953125,24423.31640625,87290.265625
2016-01-29,17990.4140625,24114.1640625,90383.609375
2016-02-01,18193.78125,25085.794921875,90383.609375
2016-02-02,18084.2734375,25129.958984375,89706.9296875
2016-02-03,17927.8359375,24246.658203125,88933.6015625
2016-02-04,18084.2734375,24820.80859375,92703.609375
2016-02-05,18209.427734375,24820.80859375,92316.9453125
2016-02-11,17677.533203125,23981.6640625,89416.9453125
2016-02-12,17677.533203125,24158.326171875,89126.9453125
2016-02-15,18052.98828125,24467.48046875,90190.2734375
2016-02-16,18272.0,25527.4453125,92316.9453125
2016-02-17,18537.9453125,26543.24609375,94926.9453125
2016-02-18,18569.236328125,26675.736328125,95990.28125
2016-02-19,18616.16015625,26145.75390625,95216.953125
2016-02-22,18381.509765625,26410.75,95990.28125
2016-02-23,18475.37890625,26852.396484375,93476.9609375
2016-02-24,18334.583984375,27294.0546875,95700.2890625
2016-02-25,18444.08203125,27205.720703125,94250.296875
2016-02-26,18334.583984375,27205.720703125,95700.2890625
2016-02-29,18428.44140625,26499.078125,96570.2890625
2016-03-02,18725.673828125,27338.216796875,97633.6328125
2016-03-03,19085.48046875,28221.51953125,96086.9609375
2016-03-04,19007.26171875,28177.353515625,94153.6171875
2016-03-07,19132.41796875,28177.353515625,96280.296875
2016-03-08,18647.451171875,26940.7265625,96473.6171875
2016-03-09,18678.744140625,26984.890625,96570.2890625
2016-03-10,19163.697265625,26764.068359375,97633.6328125
2016-03-11,19539.158203125,27117.390625,96666.96875
2016-03-14,19633.017578125,26808.23046875,95506.9453125
2016-03-15,19601.728515625,26410.75,94926.9453125
2016-03-16,19648.666015625,25792.43359375,95023.609375
2016-03-17,19758.169921875,25836.599609375,96183.640625
2016-03-18,19914.609375,26013.259765625,96570.2890625
2016-03-21,19820.74609375,26101.591796875,100050.3046875
2016-03-22,19852.029296875,26675.736328125,101983.6328125
2016-03-23,20008.474609375,26719.904296875,99566.9609375
2016-03-24,20055.404296875,26013.259765625,98600.3046875
2016-03-25,20149.26171875,25748.271484375,97150.296875
2016-03-28,20243.130859375,25218.287109375,96666.96875
2016-03-29,20180.556640625,25527.4453125,97150.296875
2016-03-30,20462.142578125,25306.619140625,96086.9609375
2016-03-31,20524.716796875,24864.96484375,95700.2890625
2016-04-01,20008.474609375,24909.134765625,94443.6328125
2016-04-04,20415.208984375,24644.13671875,95990.28125
2016-04-05,19711.236328125,24599.9765625,94346.953125
2016-04-06,20102.337890625,24290.822265625,92026.953125
2016-04-07,19852.029296875,23760.841796875,94346.953125
2016-04-08,19492.22265625,24555.810546875,96376.953125
2016-04-11,19805.099609375,23981.6640625,98116.96875
2016-04-12,19945.89453125,23981.6640625,98116.96875
2016-04-14,20336.998046875,24069.99609375,100533.640625
2016-04-15,20336.998046875,24423.31640625,102950.3203125
2016-04-18,20321.345703125,24025.830078125,103916.984375
2016-04-19,20149.26171875,24246.658203125,102950.3203125
2016-04-20,20321.345703125,24334.990234375,103433.6484375
2016-04-21,20243.130859375,24334.990234375,103433.6484375
2016-04-22,20024.115234375,24290.822265625,107300.3203125
2016-04-25,20039.75390625,24290.822265625,114067.0078125
2016-04-26,20274.4140625,25748.271484375,111167.0078125
2016-04-27,20336.998046875,25748.271484375,112617.015625
2016-04-28,19789.4609375,24644.13671875,112133.6875
2016-04-29,19476.57421875,24864.96484375,110200.34375
2016-05-02,19554.794921875,24599.9765625,110683.6640625
2016-05-03,19726.880859375,24423.31640625,110683.6640625
2016-05-04,20180.556640625,23540.01171875,111650.3359375
2016-05-09,20321.345703125,22745.044921875,112617.015625
2016-05-10,20274.4140625,23319.189453125,111167.0078125
2016-05-11,20211.83984375,23142.529296875,107783.6640625
2016-05-12,20039.75390625,23054.1953125,107300.3203125
2016-05-13,19601.728515625,23054.1953125,103433.6484375
2016-05-16,19523.509765625,23054.1953125,103916.984375
2016-05-17,19773.81640625,22877.537109375,106333.65625
2016-05-18,19836.390625,23142.529296875,104400.3203125
2016-05-19,19867.677734375,23495.84375,102950.3203125
2016-05-20,19852.029296875,23230.859375,103433.6484375
2016-05-23,20117.98046875,24025.830078125,103916.984375
2016-05-24,19883.32421875,23716.673828125,103433.6484375
2016-05-25,20258.771484375,23893.3359375,104400.3203125
2016-05-26,20274.4140625,23849.169921875,104883.65625
2016-05-27,20055.404296875,25306.619140625,104400.3203125
2016-05-30,20024.115234375,25615.775390625,103433.6484375
2016-05-31,20211.83984375,25350.78515625,108750.328125
2016-06-01,20853.240234375,25174.126953125,113100.34375
2016-06-02,21353.83984375,24776.640625,114067.0078125
2016-06-03,21541.56640625,24379.1484375,107783.6640625
2016-06-07,21870.0859375,25306.619140625,114550.359375
2016-06-08,21995.240234375,25218.287109375,105366.9921875
2016-06-09,22370.689453125,25615.775390625,108267.0
2016-06-10,21995.240234375,25615.775390625,106817.0
2016-06-13,21447.697265625,25041.625,109233.671875
2016-06-14,21588.494140625,25659.94140625,106817.0
2016-06-15,22104.74609375,26454.91015625,105366.9921875
2016-06-16,22042.169921875,26189.923828125,105366.9921875
2016-06-17,22308.11328125,25615.775390625,105366.9921875
2016-06-20,22386.333984375,26543.24609375,108750.328125
2016-06-21,22652.279296875,26322.421875,106817.0
2016-06-22,22605.349609375,27338.216796875,104400.3203125
2016-06-23,22370.689453125,28044.857421875,106333.65625
2016-06-24,21901.380859375,28089.01953125,101983.6328125
2016-06-27,21870.0859375,28309.8515625,99566.9609375
2016-06-28,21885.728515625,27514.87890625,98116.96875
2016-06-29,21854.416015625,28089.01953125,102466.984375
2016-06-30,22308.4140625,28619.009765625,104400.3203125
2016-07-01,22950.271484375,28398.1796875,104883.65625
2016-07-04,22950.271484375,28928.162109375,107300.3203125
2016-07-05,22997.2421875,28133.19140625,106817.0
2016-07-06,22245.80078125,27029.056640625,103916.984375
2016-07-07,22699.7890625,27073.228515625,105366.9921875
2016-07-08,22856.33984375,27426.55078125,101016.9765625
2016-07-11,23310.33984375,28265.68359375,102466.984375
2016-07-12,22918.962890625,28265.68359375,101500.3203125
2016-07-13,23185.103515625,28839.833984375,101983.6328125
2016-07-14,23482.537109375,29193.150390625,104400.3203125
2016-07-15,23764.333984375,28883.99609375,104883.65625
2016-07-18,23999.15625,28928.162109375,104400.3203125
2016-07-19,23999.15625,28663.169921875,103916.984375
2016-07-20,24108.744140625,28354.013671875,101500.3203125
2016-07-21,24155.71484375,28398.1796875,103916.984375
2016-07-22,23733.0234375,28265.68359375,103433.6484375
2016-07-25,23513.84765625,28707.3359375,103433.6484375
2016-07-26,23952.1953125,28309.8515625,103433.6484375
2016-07-27,23905.228515625,29546.4765625,103916.984375
2016-07-28,23592.126953125,29634.80078125,105850.3125
2016-07-29,24093.08984375,30385.607421875,101983.6328125
2016-08-01,24547.0859375,30783.08984375,104400.3203125
2016-08-02,24233.98046875,29811.466796875,103433.6484375
2016-08-03,23748.677734375,29634.80078125,108267.0
2016-08-04,23748.677734375,29723.13671875,111167.0078125
2016-08-05,24437.49609375,30738.931640625,112617.015625
2016-08-08,24562.740234375,30871.423828125,113100.34375
2016-08-09,24531.427734375,30959.755859375,113583.671875
2016-08-10,24124.39453125,29855.626953125,115517.0078125
2016-08-11,24406.189453125,30738.931640625,116000.34375
2016-08-12,24187.01953125,30341.443359375,115517.0078125
2016-08-16,24547.0859375,29767.30078125,111650.3359375
2016-08-17,24515.77734375,29634.80078125,114067.0078125
2016-08-18,25674.24609375,30164.78515625,115033.6796875
2016-08-19,26222.17578125,31268.916015625,114550.359375
2016-08-22,26065.62109375,31798.892578125,119867.03125
2016-08-23,26410.03515625,31445.58203125,117933.6953125
2016-08-24,25877.767578125,31578.068359375,116967.015625
2016-08-25,25658.595703125,31533.904296875,117450.359375
2016-08-26,25235.904296875,32019.71484375,115033.6796875
2016-08-29,25674.24609375,32019.71484375,113583.671875
2016-08-30,25752.521484375,32063.884765625,112133.6875
2016-08-31,25361.15234375,32196.3828125,111650.3359375
2016-09-01,24844.53125,31887.23046875,104883.65625
2016-09-02,25001.083984375,32373.0390625,104883.65625
2016-09-05,25141.982421875,33123.84765625,101983.6328125
2016-09-06,25721.208984375,33565.49609375,104883.65625
2016-09-07,25376.802734375,33477.171875,102950.3203125
2016-09-08,25658.595703125,34183.82421875,101983.6328125
2016-09-09,24656.66796875,34404.6328125,99083.6328125
2016-09-12,22934.6171875,32682.19921875,93283.609375
2016-09-13,23905.228515625,33388.83984375,94636.9609375
2016-09-19,24390.5390625,34625.46484375,94926.9453125
2016-09-20,24813.21484375,34669.63671875,94056.9453125
2016-09-21,24922.802734375,34581.3046875,96666.96875
2016-09-22,25329.83984375,34802.1171875,96183.640625
2016-09-23,24594.052734375,34757.95703125,95313.6171875
2016-09-26,24547.0859375,34890.4609375,95216.953125
2016-09-27,24562.740234375,36347.90625,95023.609375
2016-09-28,24531.427734375,36392.07421875,94540.2734375
2016-09-29,25048.046875,35508.7734375,94733.625
2016-09-30,25016.736328125,35508.7734375,92800.28125
2016-10-04,25267.216796875,36922.0546875,94153.6171875
2016-10-05,25345.48828125,37628.6953125,92316.9453125
2016-10-06,26472.654296875,37584.52734375,92896.9453125
2016-10-07,26707.4765625,37275.375,92510.28125
2016-10-10,26300.451171875,36480.40234375,89513.6015625
