Date,portfolio,Rolling_VaR_95,Violation_95,Rolling_VaR_99,Violation_99,var_moderate_threshold,var_high_threshold,risk_regime,suggested_exposure,reduce_signal
2017-01-10,0.0029554793662385,-0.0223300898841357,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-11,0.0213517474055136,-0.0223300898841357,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-12,-0.0020257558277423,-0.0223300898841357,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-13,-0.0108487302770927,-0.0223300898841357,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-16,-0.0254346851082121,-0.0230438866190039,True,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-17,0.004181895470833,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-18,-0.0076520245735625,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-19,-0.0114977635526486,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-20,0.0007223477115377,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-23,0.0155096772030146,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-24,0.0168614842814238,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-25,0.0187957319922909,-0.0230438866190039,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-26,0.0245754194922422,-0.022030190532361,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-01-31,-0.0026441777237324,-0.022030190532361,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-02-01,0.0061105297657326,-0.022030190532361,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-02-02,-0.0040425453584489,-0.022030190532361,False,-0.0327735055079647,False,,,LOW,1.0,False
2017-02-03,0.0064795296252685,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-06,0.0105463570364336,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-07,-0.0060652026939095,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-08,0.0030485245018819,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-09,-0.0024158212014867,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-10,-0.0205343752078925,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-13,-0.0015370640648672,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-14,-0.0144766952062603,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-15,0.0013942271872718,-0.0210226061115585,False,-0.0314399989530864,False,,,LOW,1.0,False
2017-02-16,0.0035982363200948,-0.0206298590082738,False,-0.0302862359330611,False,,,LOW,1.0,False
2017-02-17,0.0066267838721372,-0.0206298590082738,False,-0.0302862359330611,False,,,LOW,1.0,False
2017-02-20,0.0022999057499179,-0.0206298590082738,False,-0.0302862359330611,False,,,LOW,1.0,False
2017-02-21,0.0130435108310296,-0.0206298590082738,False,-0.0302862359330611,False,,,LOW,1.0,False
2017-02-22,-0.0042792635392437,-0.0206298590082738,False,-0.0302862359330611,False,-0.0230438866190039,-0.0230438866190039,LOW,1.0,False
2017-02-23,0.0030422575089069,-0.0206298590082738,False,-0.0302862359330611,False,-0.0230438866190039,-0.0230438866190039,LOW,1.0,False
2017-02-24,-0.0280283794223412,-0.0210226061115585,True,-0.0302862359330611,False,-0.0230438866190039,-0.0230438866190039,LOW,1.0,False
2017-02-27,-0.0068034696417556,-0.0210226061115585,False,-0.0302862359330611,False,-0.0230438866190039,-0.0230438866190039,LOW,1.0,False
2017-02-28,0.0135543944073159,-0.0210226061115585,False,-0.0302862359330611,False,-0.0230438866190039,-0.0230438866190039,LOW,1.0,False
2017-03-02,0.0179810807843242,-0.0210226061115585,False,-0.0302862359330611,False,-0.0230438866190039,-0.0230438866190039,LOW,1.0,False
2017-03-03,-0.0155592103381533,-0.0210226061115585,False,-0.0302862359330611,False,-0.02223292974968958,-0.0230438866190039,LOW,1.0,False
2017-03-06,0.0194026700958826,-0.0210226061115585,False,-0.0302862359330611,False,-0.022030190532361,-0.0230438866190039,LOW,1.0,False
2017-03-07,-0.0027392028431512,-0.0210226061115585,False,-0.0302862359330611,False,-0.022030190532361,-0.0230438866190039,LOW,1.0,False
2017-03-08,0.0075638798020725,-0.0210226061115585,False,-0.0302862359330611,False,-0.022030190532361,-0.02213156014102529,LOW,1.0,False
2017-03-09,-0.0064726848154357,-0.0210226061115585,False,-0.0302862359330611,False,-0.021224122995719002,-0.022030190532361,LOW,1.0,False
2017-03-10,0.0054400918028123,-0.0210226061115585,False,-0.0302862359330611,False,-0.0210226061115585,-0.022030190532361,MODERATE,0.8,True
2017-03-13,0.0270953580579203,-0.0210226061115585,False,-0.0302862359330611,False,-0.0210226061115585,-0.022030190532361,MODERATE,0.8,False
2017-03-14,0.0078767274750337,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.02112336455363875,LOW,1.0,False
2017-03-15,-0.0048126145527805,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-16,0.007133640560857,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-17,-0.0122555283423732,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-20,-0.0028864743829584,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-21,0.0048594123849385,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-22,0.0093175145868018,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-23,-0.0053627990951055,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-24,0.0047456933666604,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-27,0.0030969765252496,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-28,0.0053835459239175,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-29,0.0153646366656399,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-30,-0.0071453141907195,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-03-31,-0.0052384183529011,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-04-03,0.0104083716589675,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-04-04,-0.0037225192577285,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-04-05,0.0007165649061911,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-04-06,-0.010815319998062,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
2017-04-07,0.0007707030320258,-0.0206298590082738,False,-0.0302862359330611,False,-0.0210226061115585,-0.0210226061115585,LOW,1.0,False
