Year,violations,total_days,violation_rate,expected_rate,violation_rate_pct
2017,6,235,0.02553191489361702,0.01,2.553191489361702
2018,2,244,0.00819672131147541,0.01,0.819672131147541
2019,1,246,0.0040650406504065045,0.01,0.40650406504065045
2020,7,248,0.028225806451612902,0.01,2.82258064516129
2021,1,248,0.004032258064516129,0.01,0.4032258064516129
2022,3,244,0.012295081967213115,0.01,1.2295081967213115
2023,3,245,0.012244897959183673,0.01,1.2244897959183674
2024,5,244,0.020491803278688523,0.01,2.0491803278688523
2025,4,241,0.016597510373443983,0.01,1.6597510373443984
2026,1,35,0.02857142857142857,0.01,2.857142857142857
